word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Gedicht	6.333333	2.032002	4.634921	2.522809	3.777778	2.523723	11	7	2
Geduld	5.875000	2.207491	4.015873	2.217904	7.354839	2.065301	11	6	2
Gefahr	3.828125	2.313210	7.000000	2.054805	6.983871	2.213905	8	6	2
Gef¸hl	6.516129	2.245155	7.000000	2.278936	7.919355	2.026856	9	6	2
Geheul	3.593750	2.068039	5.317460	2.347445	6.142857	2.381766	15	6	2
Geier	4.250000	1.885618	3.838710	2.334303	1.666667	1.295152	14	5	2
Geilheit	4.890625	2.190290	7.031250	1.708696	7.774194	1.731287	16	8	2
Geisel	2.857143	2.644880	6.460318	2.298845	4.000000	2.611450	13	6	2
Geiz	3.328125	2.261161	5.222222	2.296171	7.555556	2.069578	15	4	1
Gelenk	5.062500	0.940702	2.523810	1.982644	1.777778	1.142217	15	6	2
Gem‰cht	5.031250	1.661599	5.095238	2.512641	3.301587	2.531319	17	7	2
Gemahl	5.750000	1.708987	3.984127	2.331358	4.349206	2.640618	13	6	2
Genie	6.854839	2.610488	6.562500	2.416051	6.725807	2.618781	12	5	2
Genuss	6.467742	2.634685	6.453125	2.260283	7.193548	2.331809	12	6	2
Gep‰ck	5.234375	1.243934	2.693548	1.842919	2.571429	2.168055	12	6	2
Gesang	6.174603	2.196329	4.951613	2.452349	4.888889	2.788867	11	6	2
Geschenk	6.338710	2.239317	4.171875	2.387498	3.666667	2.735667	12	8	2
Geschrei	3.640625	2.372911	6.571429	2.298066	5.968254	2.651647	12	8	2
Geschw¸r	3.206349	2.652806	5.921875	2.399105	3.338710	2.579513	16	8	2
Gesicht	6.063492	1.891177	4.187500	2.422612	2.225807	1.787198	8	7	2
Gespˆtt	3.396825	2.188973	5.625000	2.074027	6.661290	2.388110	15	7	2
Gestank	3.126984	2.465845	5.825397	2.218250	5.650794	2.736602	14	7	2
Getier	4.380952	1.790914	4.546875	2.672195	4.015873	2.808352	15	6	2
Getr‰nk	5.619048	1.895909	3.836066	2.153914	2.737705	2.136209	13	7	2
Gewalt	2.936508	2.626619	7.015873	2.098326	6.770492	2.519216	8	6	2
Gewand	5.671875	1.260570	3.421875	2.188024	2.903226	2.215517	12	6	2
Gewinn	6.265625	2.132457	5.437500	2.648000	6.177419	2.688922	9	6	2
Gew¸hl	3.953125	1.758694	5.000000	2.353929	5.661290	2.579513	14	6	2
Gew¸rm	3.515625	2.274721	5.147541	2.535324	4.126984	2.714906	17	6	2
